; ===========================================================
; SYNTHETIC RFQ DEMONSTRATION DECK — generated, do not hand-edit
;   regenerate with:  python3 make_rfq_demo.py
;
; A conventional four-section RFQ (shaper / gentle buncher /
; accelerator) built from textbook two-term design relations.
; It is NOT any real machine's design: every per-cell number is
; generated here, and nothing is copied from or fitted to any
; TraceWin output.
;
;   species        proton
;   frequency      352.21 MHz
;   input energy   75.0 keV
;   vane voltage   85 kV
;   r0             3.4 mm
;   cells          197  (26 shaper / 115 buncher / 56 accelerator)
;   length         2011.0 mm
;   design exit W  ~1.942 MeV (analytic estimate)
; ===========================================================

FREQ 352.21

; radial matcher — unmodulated, pure transverse focusing
RFQ_CELL 85000 3.4 0 1 5.3808 -90 3
RFQ_CELL 85000 3.4 0.000000 1.0000 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.000709 1.0016 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.001416 1.0032 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.002122 1.0048 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.002828 1.0064 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.003532 1.0080 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.004235 1.0096 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.004937 1.0112 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.005637 1.0128 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.006337 1.0144 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.007035 1.0160 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.007733 1.0176 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.008429 1.0192 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.009124 1.0208 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.009818 1.0224 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.010511 1.0240 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.011202 1.0256 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.011893 1.0272 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.012583 1.0288 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.013271 1.0304 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.013958 1.0320 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.014644 1.0336 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.015329 1.0352 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.016013 1.0368 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.016696 1.0384 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.017377 1.0400 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.017377 1.0400 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.017384 1.0400 5.3808 -90.0000 -2
RFQ_CELL 85000 3.4 0.017407 1.0401 5.3808 -90.0000 2
RFQ_CELL 85000 3.4 0.017450 1.0402 5.3808 -89.9998 -2
RFQ_CELL 85000 3.4 0.017514 1.0403 5.3808 -89.9995 2
RFQ_CELL 85000 3.4 0.017601 1.0405 5.3808 -89.9989 -2
RFQ_CELL 85000 3.4 0.017711 1.0408 5.3808 -89.9980 2
RFQ_CELL 85000 3.4 0.017846 1.0411 5.3808 -89.9966 -2
RFQ_CELL 85000 3.4 0.018005 1.0415 5.3808 -89.9946 2
RFQ_CELL 85000 3.4 0.018191 1.0419 5.3808 -89.9920 -2
RFQ_CELL 85000 3.4 0.018403 1.0424 5.3808 -89.9885 2
RFQ_CELL 85000 3.4 0.018642 1.0430 5.3808 -89.9841 -2
RFQ_CELL 85000 3.4 0.018908 1.0436 5.3808 -89.9787 2
